id,number_of_reviews,days,room_type,price
16596206,0,930,Entire home/apt,220
12956315,0,1498,Entire home/apt,100
6954174,9,1990,Private room,120
13096091,4,1014,Entire home/apt,249
2083473,61,1623,Entire home/apt,699
12622115,37,502,Entire home/apt,115
15156693,3,1005,Private room,110
1069758,35,1690,Private room,49
17557517,0,573,Entire home/apt,195
17743286,0,641,Private room,40
16579772,3,950,Shared room,40
10879246,2,481,Entire home/apt,200
6327204,6,1085,Entire home/apt,100
11711862,37,787,Private room,40
14249532,5,335,Private room,40
15738078,1,155,Private room,85
690675,3,1810,Entire home/apt,220
1042806,186,1749,Private room,60
15806018,13,1643,Private room,75
9341196,0,1474,Private room,95
8194426,0,1706,Private room,450
3529500,25,1070,Entire home/apt,151
9523488,4,968,Entire home/apt,120
10319579,7,2623,Private room,100
547830,0,1747,Entire home/apt,90
15037754,3,433,Entire home/apt,265
15224785,14,503,Entire home/apt,69
15747337,25,159,Shared room,109
2460303,1,1132,Entire home/apt,175
16352883,0,1038,Private room,65
17552702,0,30,Private room,58
14698446,3,548,Private room,60
3767674,5,1520,Entire home/apt,200
16778167,0,1473,Private room,60
3789400,1,973,Shared room,100
6292893,6,1761,Entire home/apt,120
6800576,38,1342,Private room,50
3047757,75,1054,Entire home/apt,149
3137906,11,1637,Private room,64
62230,26,2318,Private room,105
11138910,1,2088,Entire home/apt,109
215172,46,3013,Private room,60
16300123,1,491,Entire home/apt,250
3013136,56,2071,Private room,75
6311716,2,697,Entire home/apt,135
13050,11,2708,Entire home/apt,115
17905881,0,7,Private room,68
17008563,0,413,Private room,110
17806101,0,1601,Entire home/apt,250
16898115,7,71,Private room,50
9683697,10,558,Private room,45
1921859,15,1238,Entire home/apt,119
15784918,0,157,Shared room,70
7456809,2,784,Entire home/apt,100
11973178,9,1389,Private room,85
1294417,176,1756,Private room,126
9453245,0,1638,Private room,70
600286,19,2043,Entire home/apt,180
5403986,45,833,Private room,110
4705195,66,876,Private room,40
15967266,0,1679,Private room,70
8737468,0,1020,Private room,65
9364096,3,757,Private room,65
16810023,2,1884,Private room,78
13998293,2,1746,Entire home/apt,150
13620494,0,1779,Private room,60
6558729,0,1127,Private room,95
12542544,30,371,Entire home/apt,220
14040131,4,1330,Private room,109
12390529,16,466,Private room,75
12988630,27,487,Entire home/apt,199
13169806,13,2054,Entire home/apt,154
14449288,4,316,Private room,1080
6746003,44,2016,Private room,49
17218859,2,50,Shared room,45
6347548,2,693,Private room,113
5873309,0,732,Shared room,40
789593,56,1609,Private room,84
13243615,0,1000,Entire home/apt,79
13496464,16,295,Shared room,35
16159901,1,338,Entire home/apt,649
9694758,2,491,Entire home/apt,200
6371373,50,1007,Private room,110
2314589,13,2316,Entire home/apt,200
17014113,0,2000,Entire home/apt,400
8285367,5,1494,Private room,52
16301219,2,891,Private room,65
805793,0,1589,Entire home/apt,150
265912,0,1970,Entire home/apt,89
12571731,1,1163,Private room,55
10298562,0,734,Private room,55
13394065,0,668,Entire home/apt,90
14279874,0,1398,Private room,900
521038,8,1762,Entire home/apt,115
8443684,58,563,Private room,99
9577556,0,744,Private room,65
14827752,0,1005,Entire home/apt,270
7535342,84,1033,Entire home/apt,200
2131349,1,1191,Private room,90
14386712,48,240,Entire home/apt,220
7661915,54,1431,Private room,150
8513839,1,1729,Entire home/apt,105
16429718,0,1101,Entire home/apt,10000
4799970,20,1804,Entire home/apt,98
17728966,0,18,Entire home/apt,76
15756544,16,1144,Private room,120
15707494,1,1591,Entire home/apt,50
17305490,1,1541,Private room,71
17186834,5,409,Private room,45
16192801,2,1585,Private room,40
4050254,94,1264,Private room,169
12188768,34,1316,Entire home/apt,299
932393,1,1849,Private room,100
14964171,6,1075,Private room,120
14519664,8,512,Private room,130
1778700,8,1746,Entire home/apt,115
7611972,3,613,Private room,80
10413576,45,452,Private room,50
7849755,9,1391,Entire home/apt,400
17218264,1,837,Private room,35
8308797,57,572,Shared room,35
5857528,9,1138,Shared room,50
3057844,4,1053,Private room,45
15385,20,2675,Private room,80
10083682,24,471,Entire home/apt,180
6554879,2,1111,Private room,90
15238852,5,1908,Entire home/apt,200
11514023,2,486,Private room,60
12971313,0,328,Entire home/apt,1500
3414653,41,1903,Private room,85
9955800,17,478,Private room,60
13638027,22,340,Private room,75
12423868,5,1249,Entire home/apt,130
12398071,20,1155,Entire home/apt,200
8327302,32,570,Private room,70
14980174,2,769,Entire home/apt,220
9786182,30,800,Private room,29
8614388,41,584,Entire home/apt,199
15832389,2,916,Entire home/apt,290
1065138,0,1453,Private room,50
8903147,29,1650,Private room,39
5330243,0,864,Entire home/apt,250
16310817,1,754,Private room,85
4595015,36,868,Private room,110
793610,6,1596,Entire home/apt,210
5220945,31,793,Private room,40
4296266,3,1397,Entire home/apt,247
7193137,2,2157,Private room,70
4958134,14,1793,Private room,115
10546729,0,1930,Entire home/apt,120
13314144,1,993,Private room,50
10941782,0,1752,Private room,95
10124343,109,468,Private room,58
319798,52,1254,Private room,49
3742613,0,1193,Private room,110
9425816,0,507,Private room,200
794425,16,1596,Entire home/apt,200
13307501,28,696,Entire home/apt,125
13676889,18,1012,Private room,50
621430,20,1722,Private room,90
11754563,0,1454,Entire home/apt,199
15885760,4,1024,Entire home/apt,95
14163352,11,252,Private room,45
10719039,1,439,Private room,70
10387839,5,453,Entire home/apt,100
4499340,24,1508,Entire home/apt,110
13936341,3,1554,Entire home/apt,150
3131794,2,1804,Entire home/apt,169
11922306,5,380,Private room,60
6092004,1,1194,Entire home/apt,249
6696127,2,1238,Entire home/apt,130
9953403,0,1786,Shared room,90
17872922,0,731,Entire home/apt,125
14423024,0,1680,Private room,90
8361443,4,1206,Entire home/apt,119
493611,58,1967,Entire home/apt,500
2115061,11,1521,Entire home/apt,105
7398163,2,768,Private room,45
220351,87,2069,Private room,55
4182262,26,995,Entire home/apt,240
218358,8,2034,Private room,80
14965978,17,1437,Entire home/apt,150
14712550,35,243,Private room,88
118061,34,1800,Entire home/apt,110
7725042,0,872,Private room,50
4823529,64,1402,Shared room,35
12427275,22,359,Entire home/apt,189
9836960,1,632,Private room,30
9778049,14,1184,Entire home/apt,139
17845213,0,17,Entire home/apt,250
17509501,0,34,Entire home/apt,195
17430853,2,66,Private room,41
9681391,1,962,Entire home/apt,250
15721197,9,158,Private room,95
8982665,0,531,Private room,200
10983494,49,531,Entire home/apt,65
7530754,15,956,Entire home/apt,500
5580872,0,1447,Private room,65
7417371,1,1677,Private room,80
5125711,55,802,Entire home/apt,150
17983146,0,1041,Private room,100
16805921,0,1400,Private room,100
8861340,0,538,Entire home/apt,250
6481580,0,683,Entire home/apt,1275
15997880,6,137,Entire home/apt,76
3856374,1,1257,Entire home/apt,650
1114466,34,2088,Entire home/apt,121
1309794,0,1436,Entire home/apt,299
10616998,0,461,Private room,95
8069112,23,1013,Entire home/apt,150
13669049,0,1440,Entire home/apt,150
15052056,1,266,Entire home/apt,160
14341006,1,1871,Private room,75
15038046,22,1423,Private room,90
17023591,6,602,Private room,50
4292238,3,908,Private room,95
53016,50,2379,Entire home/apt,225
1552576,109,1682,Entire home/apt,115
8915246,1,1720,Shared room,45
2359340,122,1638,Entire home/apt,115
7211758,0,872,Private room,139
3764540,19,1716,Entire home/apt,107
7952963,23,1686,Private room,160
17745707,1,18,Entire home/apt,225
16267803,3,2020,Entire home/apt,120
12342667,0,357,Entire home/apt,170
17986966,0,1412,Private room,99
14557483,2,230,Private room,38
84480,0,2308,Entire home/apt,120
13153856,6,526,Entire home/apt,200
9977949,13,997,Private room,80
12911699,12,573,Private room,62
11965862,1,377,Private room,76
12167152,22,475,Private room,185
8972815,67,1285,Private room,70
17895530,0,545,Private room,125
3747567,21,2175,Private room,80
4884325,14,831,Private room,120
5942962,19,1719,Private room,54
17040549,13,60,Shared room,60
17839274,0,11,Private room,70
820218,2,2278,Entire home/apt,115
5715049,102,745,Entire home/apt,175
15216399,1,196,Private room,40
6575873,23,676,Shared room,43
13040917,1,652,Private room,70
3623201,16,1085,Entire home/apt,115
17434567,0,250,Entire home/apt,329
13124343,26,319,Entire home/apt,600
741806,1,1631,Private room,97
8920988,0,742,Entire home/apt,125
694016,171,1837,Private room,120
8214370,4,577,Private room,100
13274310,5,2167,Private room,108
16436800,0,1452,Entire home/apt,250
5844501,11,733,Entire home/apt,115
6645224,0,672,Private room,100
670212,6,1678,Private room,68
10572399,2,446,Entire home/apt,96
9612946,1,874,Entire home/apt,250
11120851,9,532,Entire home/apt,120
8720786,0,959,Entire home/apt,145
14297989,7,244,Private room,70
3693655,4,1193,Entire home/apt,149
8459266,19,1565,Entire home/apt,170
10377405,5,1719,Entire home/apt,200
16271468,0,574,Private room,70
7914369,30,1833,Entire home/apt,120
17554298,6,298,Entire home/apt,106
4820897,7,2447,Private room,85
3052904,2,1054,Private room,55
6269517,46,1262,Entire home/apt,150
4047751,0,1035,Entire home/apt,260
15282640,2,185,Entire home/apt,185
16742155,1,81,Shared room,21
12797047,0,352,Entire home/apt,150
9364071,4,1663,Private room,109
14587950,1,2424,Entire home/apt,225
4416814,9,892,Entire home/apt,135
17865314,2,348,Private room,59
18002685,0,2078,Private room,304
13376886,1,326,Entire home/apt,91
794020,21,1999,Private room,60
7327773,4,630,Entire home/apt,125
7900119,2,1747,Private room,80
7800835,66,1166,Entire home/apt,110
11842127,0,996,Entire home/apt,425
12292255,15,1481,Entire home/apt,189
16312005,2,443,Private room,80
7672817,81,995,Entire home/apt,149
229302,28,2149,Private room,100
12338559,4,804,Private room,73
16930152,2,1561,Private room,50
697260,11,1662,Entire home/apt,245
8027883,0,587,Private room,100
1093977,14,1444,Entire home/apt,85
64376,53,2428,Private room,28
1798511,50,1267,Entire home/apt,160
2265827,72,1165,Private room,95
9770249,36,1835,Entire home/apt,750
15548301,0,183,Private room,120
1177725,39,1417,Entire home/apt,120
17923306,0,342,Private room,200
1442799,197,1384,Entire home/apt,220
16274717,1,693,Private room,40
16018227,1,171,Entire home/apt,180
11861349,7,1137,Private room,75
7395202,0,878,Private room,90
3302463,20,1026,Entire home/apt,275
13204229,2,430,Private room,69
278197,107,2008,Private room,86
5708829,10,1523,Private room,59
16601969,1,423,Entire home/apt,120
6921249,0,653,Entire home/apt,150
9270122,1,516,Private room,60
6965441,2,977,Private room,100
16872077,0,270,Private room,60
16369161,8,281,Shared room,98
14607691,0,227,Private room,60
4564757,8,972,Entire home/apt,90
15507436,3,171,Private room,139
15374396,0,213,Private room,60
3868344,30,1069,Entire home/apt,151
6948970,0,1300,Entire home/apt,300
5046190,0,895,Private room,80
10369038,17,779,Private room,50
14749558,10,454,Private room,85
7341983,16,628,Entire home/apt,130
14008653,1,301,Private room,45
15969106,7,140,Entire home/apt,165
4846122,3,1613,Private room,85
4541102,13,876,Entire home/apt,109
13607904,0,581,Private room,49
8784461,19,666,Private room,75
7378773,1,1180,Entire home/apt,98
7956643,4,1694,Entire home/apt,125
4479556,1,882,Entire home/apt,225
15769652,9,153,Entire home/apt,479
14967994,34,206,Entire home/apt,100
11420878,0,951,Private room,80
8589729,31,553,Entire home/apt,185
3261740,3,2510,Entire home/apt,200
9271567,2,637,Entire home/apt,119
498794,2,1779,Entire home/apt,120
14472749,1,870,Private room,70
872210,0,1549,Private room,200
4823386,1,1030,Entire home/apt,125
15531588,0,238,Private room,125
8830802,0,540,Private room,135
16038961,0,1235,Private room,225
7725573,1,1192,Private room,75
3206224,110,1036,Entire home/apt,120
9646678,2,494,Entire home/apt,155
16674839,0,85,Private room,75
7002406,0,647,Private room,80
16056302,0,1895,Private room,75
17576849,0,311,Entire home/apt,90
13952029,8,317,Entire home/apt,130
11008184,0,849,Private room,200
4891701,3,830,Entire home/apt,129
12821417,1,336,Private room,100
7239575,5,634,Entire home/apt,120
1135315,1,1752,Private room,60
12519774,0,1757,Entire home/apt,200
16701157,3,307,Entire home/apt,229
7809021,35,601,Entire home/apt,138
15918537,0,144,Entire home/apt,300
16693702,5,1236,Entire home/apt,90
15542745,0,643,Entire home/apt,90
14403222,3,889,Entire home/apt,260
14535633,1,232,Private room,30
2112808,12,1744,Entire home/apt,145
15127423,0,198,Private room,65
7389120,16,1364,Entire home/apt,159
13532718,2,1338,Private room,36
16602053,2,127,Entire home/apt,309
8503433,0,560,Entire home/apt,250
602311,5,1719,Private room,85
11885997,2,1001,Entire home/apt,245
4941141,9,1059,Entire home/apt,155
3083197,13,1050,Entire home/apt,950
16253053,4,1125,Private room,90
3497765,66,1005,Entire home/apt,90
8926381,11,1321,Entire home/apt,250
8534267,3,774,Shared room,40
7621629,0,613,Private room,40
10318976,0,1119,Private room,75
1404282,2,1678,Entire home/apt,161
5058344,0,809,Entire home/apt,125
9414024,3,608,Entire home/apt,480
17962108,0,1037,Private room,68
2237495,11,1179,Private room,80
16243564,6,120,Private room,65
4070169,60,936,Private room,44
298854,0,1964,Private room,75
10083881,1,471,Entire home/apt,100
13013734,10,1263,Entire home/apt,135
15658951,9,1921,Entire home/apt,150
15983139,9,878,Entire home/apt,155
5078767,17,975,Private room,50
9758826,2,1688,Entire home/apt,115
8539830,0,1857,Entire home/apt,228
5376069,1,1221,Entire home/apt,149
6774866,12,663,Private room,60
16174653,2,128,Entire home/apt,412
14127704,0,1155,Entire home/apt,80
3511898,3,1003,Entire home/apt,85
14703292,6,223,Entire home/apt,108
17809369,1,13,Private room,45
7896572,3,599,Shared room,35
7902291,1,595,Private room,70
2635078,11,1861,Entire home/apt,235
3624952,2,1761,Private room,50
5126672,0,2697,Private room,95
1177395,4,1417,Private room,30
4504813,29,1296,Private room,130
9496398,0,504,Entire home/apt,125
9095319,29,651,Private room,40
15853074,3,42828,Private room,75
12987986,0,403,Private room,80
17560078,0,359,Entire home/apt,60
16439003,5,1074,Private room,50
8942272,0,1242,Private room,55
13584582,1,289,Entire home/apt,180
15720621,1,158,Entire home/apt,120
9698250,0,894,Private room,70
673152,9,1677,Entire home/apt,250
16269307,7,699,Entire home/apt,90
2089273,0,1291,Entire home/apt,180
918610,60,2770,Private room,75
15657783,0,2039,Private room,55
6451855,17,980,Entire home/apt,449
17954219,0,1484,Entire home/apt,200
450011,18,1801,Entire home/apt,129
11972141,0,448,Private room,65
6288004,72,792,Private room,95
12485862,24,682,Entire home/apt,190
9485606,39,503,Entire home/apt,249
731300,83,1678,Private room,90
9573394,0,796,Entire home/apt,120
4453484,31,1811,Entire home/apt,250
16214045,0,1804,Entire home/apt,170
15112932,2,1730,Entire home/apt,280
13919705,10,449,Private room,199
11826435,17,2127,Entire home/apt,70
17603987,0,2689,Entire home/apt,125
17283071,3,140,Entire home/apt,220
11924694,29,1702,Entire home/apt,250
16394446,0,204,Private room,80
17302836,0,1567,Private room,100
13973514,1,1072,Private room,160
16770503,0,1117,Entire home/apt,200
17121563,0,370,Private room,85
16426954,0,1278,Shared room,70
7726982,16,1308,Shared room,38
12446494,0,922,Entire home/apt,155
1011326,35,1474,Entire home/apt,300
2922453,35,1502,Entire home/apt,170
6091425,4,714,Entire home/apt,200
9381315,1,1363,Entire home/apt,183
535095,34,2147,Private room,79
15099391,0,197,Entire home/apt,110
14553862,2,1834,Entire home/apt,200
21644,0,2600,Private room,89
9825448,5,840,Entire home/apt,119
4267286,3,910,Private room,50
6093625,53,1203,Entire home/apt,229
13140940,20,316,Private room,45
15897780,9,144,Entire home/apt,116
15598303,1,1065,Private room,75
450440,8,2000,Entire home/apt,100
3003386,73,1749,Entire home/apt,142
13526638,0,300,Entire home/apt,225
14218251,15,471,Private room,89
16201781,10,124,Private room,68
11775347,44,405,Entire home/apt,195
9926628,11,480,Private room,39
17190977,0,998,Private room,96
16965097,11,66,Entire home/apt,280
16810657,0,2004,Entire home/apt,5700
13572767,1,338,Entire home/apt,250
5521107,15,1242,Private room,75
8141967,0,684,Private room,30
12761910,33,339,Entire home/apt,289
8422737,1,1565,Entire home/apt,289
11844082,2,1425,Private room,120
4517177,25,879,Entire home/apt,170
16534157,2,507,Private room,63
2619342,78,1108,Entire home/apt,649
223930,12,2027,Entire home/apt,150
6445371,9,928,Private room,101
16361507,1,1823,Entire home/apt,300
7672209,20,609,Private room,65
9233491,3,1097,Entire home/apt,120
17510910,2,1411,Private room,80
8762969,1,545,Private room,100
8035797,0,2307,Private room,75
9352095,77,1068,Private room,121
13937331,8,628,Private room,34
14650859,20,239,Private room,180
2259331,0,1166,Entire home/apt,425
17945279,1,1534,Entire home/apt,198
3249258,78,1957,Entire home/apt,170
7785952,23,1533,Entire home/apt,170
7936980,8,1812,Entire home/apt,130
14014298,32,1091,Private room,75
13639595,15,1997,Entire home/apt,99
17697886,0,20,Private room,250
16604913,0,887,Private room,55
16599362,2,655,Private room,40
172445,51,2145,Entire home/apt,183
15286307,28,262,Entire home/apt,90
15355281,1,719,Entire home/apt,199
13858626,2,507,Entire home/apt,285
5704948,65,1528,Private room,60
8129389,2,2941,Entire home/apt,99
8540071,32,2019,Entire home/apt,200
8485671,2,743,Entire home/apt,200
14353271,13,541,Entire home/apt,249
16147371,11,142,Entire home/apt,249
13245721,0,1234,Entire home/apt,249
16146442,1,956,Private room,50
6987811,13,875,Private room,50
2880836,12,1667,Entire home/apt,150
15406357,7,2072,Private room,85
4967506,76,919,Private room,120
17189941,0,1658,Private room,250
12629694,0,2084,Entire home/apt,125
7380485,6,966,Private room,70
9937145,1,1629,Entire home/apt,200
7143955,21,1286,Private room,54
10103745,1,1787,Entire home/apt,80
16231004,2,1367,Entire home/apt,158
8119018,51,582,Private room,110
12851422,2,2096,Entire home/apt,80
15087364,22,886,Entire home/apt,145
3521162,18,1001,Entire home/apt,175
8808863,1,2184,Entire home/apt,120
2333141,11,1155,Entire home/apt,70
7733562,23,638,Private room,96
13497305,10,1731,Private room,69
15378469,0,179,Private room,50
4984907,7,1530,Private room,75
13656752,2,1585,Private room,61
1798210,26,1266,Entire home/apt,150
14989328,11,348,Entire home/apt,130
3600108,100,1379,Entire home/apt,275
1732612,10,1281,Entire home/apt,205
2371632,61,1200,Entire home/apt,98
7494275,0,1209,Entire home/apt,150
511733,3,1859,Entire home/apt,85
9334086,3,824,Entire home/apt,80
13750877,6,1609,Private room,90
1397705,40,2272,Entire home/apt,450
5928949,0,767,Entire home/apt,300
1377297,0,1392,Entire home/apt,75
1954450,114,1798,Entire home/apt,150
16626994,3,348,Private room,75
9207124,0,815,Private room,300
8274113,3,1864,Private room,80
5623799,0,1273,Private room,49
15534137,11,168,Entire home/apt,153
15966060,16,140,Entire home/apt,89
16491124,0,1777,Entire home/apt,90
5659666,28,750,Entire home/apt,115
3222510,1,1835,Private room,46
13512427,3,293,Shared room,80
10148201,5,2182,Private room,150
17174791,1,79,Entire home/apt,200
5152230,26,800,Private room,65
13243946,1,1463,Entire home/apt,160
15257524,4,607,Private room,38
9059844,17,1277,Entire home/apt,575
4937093,1,824,Private room,52
13859473,29,271,Entire home/apt,100
13926604,17,1026,Private room,77
12472230,0,473,Private room,60
4822057,7,969,Private room,103
12231331,0,785,Private room,55
11583295,11,397,Entire home/apt,339
1559435,17,1501,Entire home/apt,75
9882537,0,481,Entire home/apt,175
5692807,65,1864,Entire home/apt,250
14968403,0,499,Entire home/apt,250
258284,150,1980,Entire home/apt,154
9577748,1,1564,Private room,68
4813140,34,898,Entire home/apt,320
342027,15,2452,Entire home/apt,99
181972,51,2077,Entire home/apt,199
14028586,28,261,Entire home/apt,135
9617219,31,520,Private room,79
7714664,48,1767,Entire home/apt,72
16861402,0,397,Private room,125
4738946,1,1047,Private room,65
10886453,7,706,Private room,69
16341416,1,612,Private room,49
3168120,1,1041,Entire home/apt,171
15241517,18,403,Private room,70
16465489,2,141,Entire home/apt,335
8541991,23,781,Entire home/apt,99
14756023,25,219,Entire home/apt,250
10598941,3,445,Entire home/apt,100
9415000,24,905,Entire home/apt,395
3897387,46,960,Private room,115
15074005,0,804,Private room,54
4077427,2,1600,Entire home/apt,175
12675481,7,347,Private room,75
9153075,0,523,Private room,40
13672890,0,361,Private room,55
17904124,0,679,Private room,50
12188882,11,868,Private room,75
9865939,0,730,Private room,164
14405670,0,294,Private room,200
16288234,0,116,Private room,40
5469076,20,769,Private room,145
8327297,7,910,Entire home/apt,150
15700951,17,170,Shared room,42
530647,57,1683,Entire home/apt,107
12882001,3,705,Private room,42
17858271,0,1353,Private room,68
1351640,8,1830,Entire home/apt,199
4724783,5,2194,Entire home/apt,170
17574212,0,948,Private room,98
14292249,14,620,Private room,175
2967375,22,1448,Private room,150
8553166,2,1349,Entire home/apt,200
9561222,12,904,Entire home/apt,164
8355794,2,1048,Private room,60
9525925,24,1303,Entire home/apt,160
3944200,17,953,Entire home/apt,195
12008079,35,375,Entire home/apt,199
1423038,36,1351,Private room,60
6800274,1,2367,Private room,155
14071802,4,320,Private room,80
17652581,1,2018,Entire home/apt,165
46911,39,2415,Private room,120
392563,17,2467,Entire home/apt,100
7401573,3,627,Private room,53
14714119,1,565,Private room,49
7308118,1,631,Private room,115
8933153,15,535,Entire home/apt,600
1555678,11,2016,Entire home/apt,80
8235198,1,1551,Entire home/apt,240
5691763,2,1607,Private room,65
6528060,0,680,Private room,84
9590866,0,497,Private room,39
4743840,22,2073,Entire home/apt,285
2002467,0,1589,Private room,80
9166769,17,568,Private room,55
13432189,0,1763,Private room,75
2248323,4,2116,Private room,99
13114394,8,630,Private room,22
14090489,12,485,Private room,47
2611765,8,1220,Entire home/apt,145
9137941,0,1592,Entire home/apt,200
860827,182,1555,Entire home/apt,160
4479625,0,1783,Entire home/apt,135
17319120,0,391,Private room,80
14741623,6,621,Private room,47
14234210,9,1147,Entire home/apt,180
15409749,1,1208,Entire home/apt,250
13136376,5,1040,Entire home/apt,350
16037130,2,1171,Entire home/apt,135
4860876,33,1768,Entire home/apt,295
17749273,0,17,Private room,35
9778372,23,765,Private room,49
6317058,10,864,Shared room,50
15284478,1,1656,Private room,150
16322824,0,483,Entire home/apt,245
9940253,3,479,Private room,79
10947986,0,428,Entire home/apt,79
6678707,28,669,Entire home/apt,175
